2, 8340, Note_on_c, 0, 60, 108
2, 8340, Lyric_t, "me "
2, 8341, Pitch_bend_c, 0, 3511
2, 8344, Pitch_bend_c, 0, 6436
2, 8347, Pitch_bend_c, 0, 8192
2, 8460, Note_on_c, 0, 60, 0
2, 8460, Note_on_c, 0, 58, 81
2, 8460, Lyric_t, "and "
2, 8490, Note_on_c, 0, 58, 0
2, 8520, Note_on_c, 0, 58, 94
2, 8520, Lyric_t, "then "
2, 8520, Lyric_t, "\015"
2, 8526, Pitch_bend_c, 0, 9128
2, 8528, Pitch_bend_c, 0, 11117
2, 8531, Pitch_bend_c, 0, 11585
2, 8533, Pitch_bend_c, 0, 10883
2, 8536, Pitch_bend_c, 0, 8660
2, 8539, Pitch_bend_c, 0, 8192
2, 8583, Pitch_bend_c, 0, 3628
2, 8585, Pitch_bend_c, 0, 0
2, 8670, Note_on_c, 0, 58, 0
2, 8707, Note_on_c, 0, 65, 100
2, 8707, Lyric_t, "Spin "
2, 8718, Pitch_bend_c, 0, 2107
2, 8720, Pitch_bend_c, 0, 5851
2, 8723, Pitch_bend_c, 0, 8192
2, 8737, Note_on_c, 0, 65, 0
2, 8760, Note_on_c, 0, 65, 122
2, 8760, Lyric_t, "me "
2, 8820, Note_on_c, 0, 65, 0
2, 8820, Note_on_c, 0, 65, 90
2, 8820, Lyric_t, "a"
2, 8868, Pitch_bend_c, 0, 5617
2, 8870, Pitch_bend_c, 0, 0
2, 8880, Note_on_c, 0, 65, 0
2, 8880, Note_on_c, 0, 68, 110
2, 8880, Lyric_t, "round "
2, 8881, Pitch_bend_c, 0, 118
2, 8883, Pitch_bend_c, 0, 2341
2, 8886, Pitch_bend_c, 0, 5032
2, 8889, Pitch_bend_c, 0, 8074
2, 8892, Pitch_bend_c, 0, 8192
2, 8940, Note_on_c, 0, 68, 0
2, 8940, Note_on_c, 0, 68, 94
2, 8940, Lyric_t, "'til "
2, 9000, Note_on_c, 0, 68, 0
2, 9000, Note_on_c, 0, 68, 98
2, 9000, Lyric_t, "I "
2, 9060, Note_on_c, 0, 68, 0
2, 9060, Note_on_c, 0, 63, 95
2, 9060, Pitch_bend_c, 0, 11000
2, 9060, Lyric_t, "fell "
2, 9063, Pitch_bend_c, 0, 12170
2, 9065, Pitch_bend_c, 0, 11819
2, 9068, Pitch_bend_c, 0, 10181
2, 9070, Pitch_bend_c, 0, 8192
2, 9180, Note_on_c, 0, 63, 0
2, 9180, Note_on_c, 0, 61, 85
2, 9180, Lyric_t, "a"
2, 9210, Note_on_c, 0, 61, 0
2, 9240, Note_on_c, 0, 61, 97
2, 9240, Lyric_t, "sleep "
2, 9240, Lyric_t, "\015"
2, 9306, Control_c, 0, 1, 4
2, 9309, Control_c, 0, 1, 7
2, 9311, Control_c, 0, 1, 1
2, 9314, Control_c, 0, 1, 0
2, 9335, Control_c, 0, 1, 20
2, 9338, Control_c, 0, 1, 30
2, 9340, Control_c, 0, 1, 36
2, 9343, Control_c, 0, 1, 43
2, 9351, Control_c, 0, 1, 36
2, 9354, Control_c, 0, 1, 30
2, 9356, Control_c, 0, 1, 22
2, 9359, Control_c, 0, 1, 14
2, 9362, Control_c, 0, 1, 13
2, 9364, Control_c, 0, 1, 14
2, 9366, Control_c, 0, 1, 17
2, 9369, Control_c, 0, 1, 24
2, 9371, Control_c, 0, 1, 29
2, 9374, Control_c, 0, 1, 35
2, 9377, Control_c, 0, 1, 39
2, 9389, Control_c, 0, 1, 35
2, 9392, Control_c, 0, 1, 18
2, 9395, Control_c, 0, 1, 6
2, 9397, Control_c, 0, 1, 2
2, 9401, Control_c, 0, 1, 0
2, 9510, Note_on_c, 0, 61, 0
2, 9649, Pitch_bend_c, 0, 5734
2, 9652, Pitch_bend_c, 0, 469
2, 9655, Pitch_bend_c, 0, 0
2, 9660, Note_on_c, 0, 66, 116
2, 9660, Lyric_t, "Then "
2, 9665, Pitch_bend_c, 0, 469
2, 9668, Pitch_bend_c, 0, 2341
2, 9670, Pitch_bend_c, 0, 5032
2, 9673, Pitch_bend_c, 0, 7957
2, 9675, Pitch_bend_c, 0, 8192
2, 9720, Note_on_c, 0, 66, 0
2, 9720, Note_on_c, 0, 66, 107
2, 9720, Lyric_t, "up "
2, 9750, Note_on_c, 0, 66, 0
2, 9780, Note_on_c, 0, 66, 113
2, 9780, Lyric_t, "the "
2, 9810, Note_on_c, 0, 66, 0
2, 9840, Note_on_c, 0, 66, 127
2, 9840, Lyric_t, "stairs "
2, 9900, Note_on_c, 0, 66, 0
2, 9900, Note_on_c, 0, 65, 106
2, 9900, Lyric_t, "he "
2, 9960, Note_on_c, 0, 65, 0
2, 9960, Note_on_c, 0, 63, 85
2, 9960, Lyric_t, "would "
2, 9990, Note_on_c, 0, 63, 0
2, 10020, Note_on_c, 0, 63, 117
2, 10020, Lyric_t, "car"
2, 10023, Pitch_bend_c, 0, 9245
2, 10026, Pitch_bend_c, 0, 13223
2, 10029, Pitch_bend_c, 0, 14627
2, 10031, Pitch_bend_c, 0, 13691
2, 10034, Pitch_bend_c, 0, 10766
2, 10036, Pitch_bend_c, 0, 8192
2, 10140, Note_on_c, 0, 63, 0
2, 10140, Note_on_c, 0, 61, 93
